ministerio,area,proyecto,enlace,tipo_ayuda,evento,bajada
Ministerio de Desarrollo Económico,DG Comercio Exterior,Aceleradora de Negocios Internacionales,,Aceleración de Proyecto,BA Ciudad Abierta,"Prueba y validación de concepto para afianzar la inserción de las empresas nacionales en el comercio internacional, mediante alianzas estratégicas con las Universidades"
Ministerio de Modernización,DG Innovación y Gobierno Abierto,API de Datos en Tiempo Real,,Producto,,"Plataforma de transmisión de datos de sensores físicos y aplicaciones en tiempo real que permite la interconexión de dispositivos, datos, usuarios y aplicaciones. "
Ministerio de Desarrollo Económico,COPIDIS,Ayuda me perdí,http://bit.ly/ayudameperdi,Producto,BA Ciudad Abierta,"El proyecto ganador de Desarrollando América Latina 2014, fue incubado para diseñar una aplicación que ayude a personas con discapacidad intelectual a orientarse y poder movilizarse en la vía pública."
Sociedad Civil,Fundación DISCAR; Programa Innovadores Residentes; Wingu,Ayuda me perdí,http://bit.ly/ayudameperdi,Producto,BA Ciudad Abierta,"El proyecto ganador de Desarrollando América Latina 2014, fue incubado para diseñar una aplicación que ayude a personas con discapacidad intelectual a orientarse y poder movilizarse en la vía pública."
Ministerio de Modernización,DGGOBE,BA Digital,https://youtu.be/Hz0ZcjJwJ3A,Innovación Pública,BA Digital,"Encuentro de capacitación del que participaron más de 600 personas de diferentes equipos de Gobierno para conectarse, inspirarse y conversar sobre las tecnologías que están transformando a la Ciudad."
Secretaria de Medios,DG Nuevos Medios,BA Digital,https://youtu.be/Hz0ZcjJwJ3A,Innovación Pública,BA Digital,"Encuentro de capacitación del que participaron más de 600 personas de diferentes equipos de Gobierno para conectarse, inspirarse y conversar sobre las tecnologías que están transformando a la Ciudad."
Sociedad Civil,Mercado Libre; Facebook,BA Digital,https://youtu.be/Hz0ZcjJwJ3A,Innovación Pública,BA Digital,"Encuentro de capacitación del que participaron más de 600 personas de diferentes equipos de Gobierno para conectarse, inspirarse y conversar sobre las tecnologías que están transformando a la Ciudad."
Ministerio de Cultura,DG Festivales ,BAFICI - Mesa de Sensores,,Producto,,"Producción de una mesa interactiva con sensores, a fin de poder encuestar sobre las sensaciones generadas por las diversas películas del festival de una forma lúdica y experimental."
Ministerio de Modernización,DG Innovación y Gobierno Abierto,Buenos Aires Data 3.0,data.buenosaires.gob.ar,Producto,,"Tercera versión del Portal de Datos Abiertos. El catálogo de datos abiertos de la Ciudad, reúne una gran cantidad de información producida diariamente por todo el Gobierno."
Ministerio de Desarrollo Económico,DG Industrias Creativas,Buscador Literatura Infantil,http://bli.stagings.com.ar/,Aceleración de Proyecto,BA Ciudad Abierta,Trabajamos junto con la Fundación El Libro para indagar cómo podemos usar la tecnología para facilitar el acercamiento de los libros infantiles con sus lectores.
Sociedad Civil,Fundación El Libro,Buscador Literatura Infantil,http://bli.stagings.com.ar/,Aceleración de Proyecto,BA Ciudad Abierta,Trabajamos junto con la Fundación El Libro para indagar cómo podemos usar la tecnología para facilitar el acercamiento de los libros infantiles con sus lectores.
Ministerio de Ambiente y Espacio Público,Agencia de Protección Ambiental,Calidad del Aire. EPAs IoT,,Producto,,"Conectividad en tiempo real en las tres Estaciones de Protección Ambiental existentes, a fin de poder ver los datos en vivo y almacenarlos automaticamente."
Ministerio de Ambiente y Espacio Público,Mesa Verde,Campañas Creativas,https://www.facebook.com/EscuelitaSitiooficial/videos/10152971570657056/?permPage=1,Innovación Cívica,BA Ciudad Abierta,La Escuela de Creativos creó una Usina de Ideas para que sus alumnos trabajen con problemas reales. Desde el Laboratorio acompañamos a distintos Ministerios quienes presentaron sus desafíos a los 40 alumnos.
Ministerio de Desarrollo Social,DG Mujer,Campañas Creativas,https://www.facebook.com/EscuelitaSitiooficial/videos/10152971570657056/?permPage=1,Innovación Cívica,BA Ciudad Abierta,La Escuela de Creativos creó una Usina de Ideas para que sus alumnos trabajen con problemas reales. Desde el Laboratorio acompañamos a distintos Ministerios quienes presentaron sus desafíos a los 40 alumnos.
Ministerio de Salud,DG Redes y Programas de Salud,Campañas Creativas,https://www.facebook.com/EscuelitaSitiooficial/videos/10152971570657056/?permPage=1,Innovación Cívica,BA Ciudad Abierta,La Escuela de Creativos creó una Usina de Ideas para que sus alumnos trabajen con problemas reales. Desde el Laboratorio acompañamos a distintos Ministerios quienes presentaron sus desafíos a los 40 alumnos.
Sociedad Civil,Agencia +Castro; Escuela Superior de Creativos Publicitarios,Campañas Creativas,https://www.facebook.com/EscuelitaSitiooficial/videos/10152971570657056/?permPage=1,Innovación Cívica,BA Ciudad Abierta,La Escuela de Creativos creó una Usina de Ideas para que sus alumnos trabajen con problemas reales. Desde el Laboratorio acompañamos a distintos Ministerios quienes presentaron sus desafíos a los 40 alumnos.
Mesa de Innovación ,Mesa de Innovación ,"Ciudad Abierta (Camp, Aceleración, Hackatón)",https://www.youtube.com/watch?v=ywt3kdIzSpk,Innovación Cívica,,"Proceso de innovación abierta concretado en una gran maratón de colaboración pública para conectar equipos, inspirar ideas y acelerar proyectos que generen nuevas soluciones para la Ciudad."
Ministerio de Cultura,Centro Cultural Recoleta,Ciudad Emergente ,https://drive.google.com/file/d/0B3eO9Du6blIkWEloRFlkR29GMVk/view?usp=sharing,Producto,,Realizamos una muestra con distintas visualizaciones de datos y instalamos una maqueta con proyecciones de datos de la Ciudad en el Festival Ciudad Emergente.
Ministerio de Cultura,DG Bibliotecas,Clubes de Programación,https://www.flickr.com/photos/gcbadata/albums/72157647388933535,Producto,,"Trabajamos junto a cuatro ministerios para generar oportunidades de valor, inclusivas e igualadoras en las Bibliotecas públicas de la Ciudad. A través de los Clubes de Programación, más de dos mil personas aprendieron a programar."
Ministerio de Cultura,DG Bibliotecas,Academia BA,,Producto,,"Trabajamos junto a cuatro ministerios para generar oportunidades de valor, inclusivas e igualadoras en las Bibliotecas públicas de la Ciudad. A través de Academia BA, más de dos mil personas se sumaron a emprender."
Ministerio de Educación,DG Tecnología Educativa,Clubes de Programación,,Producto,,"Trabajamos junto a cuatro ministerios para generar oportunidades de valor, inclusivas e igualadoras en las Bibliotecas públicas de la Ciudad. A través de los Clubes de Programación, más de dos mil personas aprendieron a programar."
Jefatura de Gabinete,Subsecretaría de Derechos Humanos y Pluralismo Cultural,Colectividades (Wikimedia y DG Colectividades),,Aceleración de Proyecto,BA Ciudad Abierta,"En el marco de Buenos Aires Ciudad Abierta, trabajamos junto a Wikimedia Argentina y a la DG de Colectividades, para preservar el acervo cultural de las colectividades argentinas."
Sociedad Civil,Wikimedia Argentina,Colectividades (Wikimedia y DG Colectividades),,Aceleración de Proyecto,BA Ciudad Abierta,"En el marco de Buenos Aires Ciudad Abierta, trabajamos junto a Wikimedia Argentina y a la DG de Colectividades, para preservar el acervo cultural de las colectividades argentinas."
